command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 Plasma.py:1(<module>)
        1    0.002    0.002    0.009    0.009 core.py:21(<module>)
      306    0.002    0.000    0.026    0.000 GL_1_0.py:12(_f)
      188    0.002    0.000    0.007    0.000 __init__.py:375(__getattr__)
      283    0.002    0.000    0.003    0.000 baseplatform.py:125(finalArgType)
      713    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
        1    0.002    0.002    0.007    0.007 threading.py:1(<module>)
        1    0.002    0.002    0.082    0.082 __init__.py:5(<module>)
        1    0.002    0.002    0.020    0.020 GL_2_0.py:1(<module>)
        1    0.002    0.002    0.014    0.014 tempfile.py:18(<module>)
       67    0.002    0.000    0.005    0.000 images.py:431(setDimensionsAsInts)
        1    0.002    0.002    0.018    0.018 utils.py:4(<module>)
        1    0.002    0.002    0.002    0.002 rq.py:21(<module>)
        1    0.002    0.002    0.003    0.003 defmatrix.py:1(<module>)
   125/62    0.002    0.000    0.002    0.000 sre_parse.py:151(getwidth)
        1    0.002    0.002    0.005    0.005 case.py:1(<module>)
        1    0.002    0.002    0.034    0.034 __init__.py:7(<module>)
        1    0.002    0.002    0.025    0.025 GL_3_2.py:9(<module>)
        1    0.002    0.002    0.049    0.049 GL_1_0.py:9(<module>)
        1    0.002    0.002    0.011    0.011 Surface.py:3(<module>)
        1    0.002    0.002    0.198    0.198 pattern_conf.py:2(<module>)
        1    0.001    0.001    0.015    0.015 display.py:22(<module>)
        1    0.001    0.001    0.002    0.002 argparse.py:62(<module>)
        2    0.001    0.001    0.002    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.003    0.003 io.py:34(<module>)
      153    0.001    0.000    0.016    0.000 baseplatform.py:121(wrapLogging)
        1    0.001    0.001    0.030    0.030 _internal.py:6(<module>)
        1    0.001    0.001    0.019    0.019 imaging.py:9(<module>)
        1    0.001    0.001    0.016    0.016 ArgumentParser.py:1(<module>)
      227    0.001    0.000    0.003    0.000 wrapper.py:347(setReturnValues)
        2    0.001    0.001    0.005    0.002 function_base.py:1(<module>)
      261    0.001    0.000    0.001    0.000 {_struct.calcsize}
      364    0.001    0.000    0.003    0.000 sre_parse.py:206(match)
        1    0.001    0.001    0.003    0.003 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
      275    0.001    0.000    0.002    0.000 sre_parse.py:149(append)
      166    0.001    0.000    0.017    0.000 __init__.py:1559(getLogger)
      516    0.001    0.000    0.001    0.000 {chr}
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
      166    0.001    0.000    0.005    0.000 __init__.py:205(_acquireLock)
      380    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.006    0.006 arrayprint.py:5(<module>)
        1    0.001    0.001    0.015    0.015 separate_shader_objects.py:1(<module>)
        1    0.001    0.001    0.006    0.006 subprocess.py:387(<module>)
       49    0.001    0.000    0.035    0.001 images.py:575(typedImageFunction)
      199    0.001    0.000    0.002    0.000 rq.py:278(__init__)
        1    0.001    0.001    0.129    0.129 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.047    0.047 error.py:9(<module>)
        1    0.001    0.001    0.014    0.014 GL_4_0.py:1(<module>)
        1    0.001    0.001    0.030    0.030 GL_1_3.py:9(<module>)
        1    0.001    0.001    0.005    0.005 pickle.py:25(<module>)
        1    0.001    0.001    0.003    0.003 glx.py:1(<module>)
        1    0.001    0.001    0.019    0.019 GL_3_1.py:9(<module>)
      318    0.001    0.000    0.001    0.000 converters.py:130(__init__)
        3    0.001    0.000    0.002    0.001 numeric.py:358(extend_all)
        1    0.001    0.001    0.001    0.001 {function seed at 0x7f2ee65f5320}
       76    0.001    0.000    0.002    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.012    0.012 GL_1_3.py:1(<module>)
        1    0.001    0.001    0.033    0.033 GL_1_2.py:9(<module>)
